-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Latitude  12.8896   Longitude 74.9362 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 79.56 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
12.88961,74.93621,2018,01,01,              8.85
12.88961,74.93621,2018,01,02,              8.78
12.88961,74.93621,2018,01,03,              8.90
12.88961,74.93621,2018,01,04,              9.04
12.88961,74.93621,2018,01,05,              9.24
12.88961,74.93621,2018,01,06,              8.94
12.88961,74.93621,2018,01,07,              8.94
12.88961,74.93621,2018,01,08,              8.91
12.88961,74.93621,2018,01,09,              9.39
12.88961,74.93621,2018,01,10,              9.96
12.88961,74.93621,2018,01,11,              9.97
12.88961,74.93621,2018,01,12,             10.46
12.88961,74.93621,2018,01,13,              9.56
12.88961,74.93621,2018,01,14,              9.13
12.88961,74.93621,2018,01,15,              9.08
12.88961,74.93621,2018,01,16,              9.61
12.88961,74.93621,2018,01,17,              9.80
12.88961,74.93621,2018,01,18,              9.10
12.88961,74.93621,2018,01,19,              9.09
12.88961,74.93621,2018,01,20,              9.31
12.88961,74.93621,2018,01,21,              9.15
12.88961,74.93621,2018,01,22,              9.37
12.88961,74.93621,2018,01,23,              9.23
12.88961,74.93621,2018,01,24,              9.01
12.88961,74.93621,2018,01,25,              8.96
12.88961,74.93621,2018,01,26,              9.29
12.88961,74.93621,2018,01,27,              9.37
12.88961,74.93621,2018,01,28,              9.63
12.88961,74.93621,2018,01,29,              9.57
12.88961,74.93621,2018,01,30,              9.09
12.88961,74.93621,2018,01,31,              8.67
12.88961,74.93621,2018,02,01,              8.78
12.88961,74.93621,2018,02,02,              8.78
