0,1,2,3,4,5
15,20,16,13,1,42
6,19,13,14,16,42
17,14,9,12,19,56
15,2,11,15,9,90
6,1,5,8,17,37
13,11,16,10,11,88
11,6,6,10,11,62
2,9,15,12,20,53
4,17,15,5,1,35
1,8,7,12,12,84
18,15,6,10,16,8
8,7,5,13,13,68
4,1,16,11,9,36
5,13,12,9,19,84
21,6,11,7,9,2
2,8,8,10,2,4
22,4,2,14,4,86
1,4,7,11,19,7
1,19,19,9,4,17
7,16,14,14,3,2
11,16,9,10,15,51
8,14,6,1,17,81
22,7,5,10,4,63
1,17,13,10,20,69
13,19,4,2,7,66
8,9,14,4,19,28
14,3,13,6,1,61
2,12,7,11,1,43
25,8,19,10,14,18
18,17,8,6,5,95
17,14,15,7,12,85
24,20,20,14,18,60
14,4,11,8,6,83
25,2,2,13,11,76
12,8,12,15,9,48
11,7,1,5,18,33
22,8,4,1,3,81
10,7,16,2,1,41
4,5,3,5,19,13
10,2,13,8,1,21
15,18,19,6,10,88
20,6,7,3,13,30
11,7,16,6,3,36
7,13,12,4,4,22
23,11,3,15,20,16
12,5,13,7,2,34
19,11,11,6,15,83
5,20,9,7,1,23
9,14,15,12,9,31
13,16,1,15,8,40
2,11,16,15,13,37
5,13,19,11,20,66
8,16,5,4,7,57
11,17,2,8,18,90
13,20,18,5,17,97
4,8,7,2,4,51
13,14,4,14,14,3
6,8,19,7,11,17
4,17,14,15,9,63
2,3,3,4,17,11
20,2,18,8,3,94
4,13,7,12,1,32
21,18,19,6,19,50
13,17,18,13,9,38
20,2,12,14,20,48
24,6,9,4,18,32
22,13,16,5,11,88
16,12,5,6,14,63
2,1,12,9,5,32
18,20,13,4,8,64
3,19,9,14,7,38
2,20,11,12,19,93
4,9,4,3,1,78
5,3,10,3,13,95
4,1,6,1,11,25
14,9,3,9,19,21
2,20,20,9,16,50
1,19,10,7,18,71
6,19,13,10,12,25
21,15,17,6,11,80
13,1,20,15,20,38
18,16,17,12,14,32
22,16,2,6,2,19
3,17,9,10,14,60
12,4,15,15,12,57
4,4,17,8,10,96
17,17,11,13,16,36
1,12,12,14,9,65
14,17,2,13,8,55
2,16,10,11,1,53
4,4,16,11,19,58
6,10,14,4,10,41
6,20,4,4,16,73
9,9,1,2,11,80
11,5,16,7,12,96
25,16,11,7,16,49
14,3,11,10,1,60
5,19,11,9,7,38
8,12,7,3,18,29
9,10,13,4,12,65
6,6,20,2,7,15
2,6,17,4,10,10
10,6,8,13,14,6
25,6,18,6,10,95
15,14,5,2,4,88
1,10,13,2,18,79
1,14,16,5,5,97
14,14,3,8,6,48
18,16,14,12,11,75
12,7,20,3,4,84
5,16,5,9,8,42
4,5,7,15,19,31
6,14,5,15,8,2
23,16,17,13,4,20
9,7,6,4,14,41
19,20,17,10,10,16
13,19,20,11,3,11
7,15,16,13,2,4
19,16,11,8,15,14
7,8,1,12,13,86
10,13,18,8,9,87
